Index;Sport;Championnat;Événement;Formule pari;Prono;Prono ID;Cote;CA (PG);CA en %;Mises (PG);Mises en %;Mises single (PG);Mises single en %;% CA Single;Nb PDJ;Liability;Liability RU;Liability Single;Exposure;Payout;Mises combinés;Combinés perdants;Combinés en cours
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Giorgi Kochorashvili;122718448;6,6;9;0 %;9;0 %;8;0 %;89 %;2;7 918;7 918;7 652;48;56;1;1;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Clayton;122718447;10,8;82;1 %;107;1 %;63;1 %;77 %;20;6 976;6 976;7 038;928;998;44;35;9
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Ricardo Mangas;122718440;10,3;0;0 %;0;0 %;0;0 %;0 %;0;7 974;7 974;7 708;0;0;0;0;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Hidemasa Morita;122718432;10,3;0;0 %;0;0 %;0;0 %;0 %;0;7 974;7 974;7 708;0;0;0;0;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Joao Pedro Aranuth Barrocas Simoes;122718445;10,3;0;0 %;0;0 %;0;0 %;0 %;0;7 974;7 974;7 708;0;0;0;0;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Marc Gual;122718446;16;0;0 %;0;0 %;0;0 %;0 %;0;7 974;7 974;7 708;0;0;0;0;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Andre Luiz;122718437;16;23;0 %;36;0 %;16;0 %;70 %;3;7 742;7 742;7 476;216;232;20;20;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Karem Zoabi;122718429;18;0;0 %;0;0 %;0;0 %;0 %;0;7 974;7 974;7 708;0;0;0;0;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Dario Spikic;122718436;18;12;0 %;12;0 %;12;0 %;100 %;2;7 758;7 758;7 492;204;216;0;0;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Ole Pohlmann;122718434;18;26;0 %;26;0 %;26;0 %;100 %;2;7 506;7 506;7 240;442;468;0;0;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Antonis Papakanellos;122718433;18;0;0 %;0;0 %;0;0 %;0 %;0;7 974;7 974;7 708;0;0;0;0;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Matheus Reis;122718441;15;0;0 %;0;0 %;0;0 %;0 %;0;7 974;7 974;7 708;0;0;0;0;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Rafael Genuino Lobato;122718435;20;0;0 %;0;0 %;0;0 %;0 %;0;7 974;7 974;7 708;0;0;0;0;0
