Index;Sport;Championnat;Événement;Formule pari;Prono;Prono ID;Cote;CA (PG);CA en %;Mises (PG);Mises en %;Mises single (PG);Mises single en %;% CA Single;Nb PDJ;Liability;Liability RU;Liability Single;Exposure;Payout;Mises combinés;Combinés perdants;Combinés en cours
7572;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur;M.Araujo ou Clayton;122718269;2,15;1;0 %;5;0 %;0;0 %;0 %;5;244;244;9;0;0;5;5;0
7703;;;;;30248174;;45,03;3 475;100 %;22 796;100 %;0;0 %;0 %;2 305;;;;;;22 796;13 815;8 981
7703;Football;Liga Portugal;Sporting-Rio Ave;Double chance;1/N;122619519;1,01;3 172;91 %;20 714;91 %;0;0 %;0 %;1 872;-2 822;-3 966;0;4 052;6 541;20 714;12 310;8 404
7703;Football;Liga Portugal;Sporting-Rio Ave;Double chance;N/2;122619517;3,85;28;1 %;140;1 %;0;0 %;0 %;51;5 109;5 100;0;274;270;140;112;28
7703;Football;Liga Portugal;Sporting-Rio Ave;Double chance;1/2;122619518;1,03;275;8 %;1 942;9 %;0;0 %;0 %;382;5 287;5 230;0;70;18;1 942;1 393;549
7705;;;;;30248104;;86,1;4 676;100 %;19 008;100 %;146;100 %;3 %;4 490;;;;;;18 862;10 577;8 285
7705;Football;Liga Portugal;Sporting-Rio Ave;Les 2 équipes marquent;Oui;122619175;2,55;4 549;97 %;18 281;96 %;146;100 %;3 %;4 283;-1 032;-1 132;-223;1 132;1 264;18 135;10 092;8 043
7705;Football;Liga Portugal;Sporting-Rio Ave;Les 2 équipes marquent;Non;122619174;1,3;126;3 %;727;4 %;0;0 %;0 %;207;282;282;146;0;0;727;485;242
7707;;;;;30248208;;85,8;2 626;100 %;8 755;100 %;247;100 %;9 %;1 209;;;;;;8 508;2 915;5 593
7707;Football;Liga Portugal;Sporting-Rio Ave;Plus/Moins;Plus 3.5;122619648;1,85;2 354;90 %;7 552;86 %;227;92 %;10 %;958;-524;-544;-176;565;821;7 325;2 234;5 091
7707;Football;Liga Portugal;Sporting-Rio Ave;Plus/Moins;Moins 3.5;122619649;1,6;271;10 %;1 203;14 %;20;8 %;7 %;251;282;281;215;13;32;1 183;681;502
7708;;;;;30248127;;88,28;1 915;100 %;4 747;100 %;935;100 %;49 %;878;;;;;;3 812;2 187;1 625
7708;Football;Liga Portugal;Sporting-Rio Ave;Plus/Moins Rio Ave;Plus 0,5;122619266;2,45;1 912;100 %;4 705;99 %;935;100 %;49 %;861;-1 772;-1 829;-1 238;1 829;2 814;3 770;2 145;1 625
7708;Football;Liga Portugal;Sporting-Rio Ave;Plus/Moins Rio Ave;Moins 0,5;122619265;1,38;4;0 %;42;1 %;0;0 %;0 %;17;1 059;1 059;935;0;0;42;42;0
7709;;;;;30248147;;88,18;2 233;100 %;9 283;100 %;177;100 %;8 %;1 854;;;;;;9 106;5 459;3 647
7709;Football;Liga Portugal;Sporting-Rio Ave;Plus/Moins Sporting;Plus 2,5;122619393;1,52;2 222;99 %;9 197;99 %;177;100 %;8 %;1 832;-1 110;-1 444;-99;1 444;1 424;9 020;5 395;3 625
7709;Football;Liga Portugal;Sporting-Rio Ave;Plus/Moins Sporting;Moins 2,5;122619392;2,1;12;1 %;86;1 %;0;0 %;0 %;22;354;354;177;0;0;86;64;22
16761;;;;;30248118;;87,21;1 110;100 %;3 407;100 %;183;100 %;16 %;487;;;;;;3 224;1 920;1 304
16761;Football;Liga Portugal;Sporting-Rio Ave;Plus/Moins MT;Plus 1.5;122619230;1,85;960;87 %;3 174;93 %;63;34 %;7 %;471;-195;-235;68;355;453;3 111;1 877;1 234
16761;Football;Liga Portugal;Sporting-Rio Ave;Plus/Moins MT;Moins 1.5;122619231;1,65;150;13 %;233;7 %;120;66 %;80 %;16;107;107;-15;78;198;113;43;70
16808;;;;;30248138;;88,55;6 142;100 %;31 934;100 %;21;100 %;0 %;3 372;;;;;;31 913;19 390;12 523
16808;Football;Liga Portugal;Sporting-Rio Ave;Plus/Moins Sporting;Plus 1,5;122619305;1,15;6 142;100 %;31 933;100 %;21;100 %;0 %;3 371;-4 922;-6 042;-4;6 042;7 658;31 912;19 389;12 523
16808;Football;Liga Portugal;Sporting-Rio Ave;Plus/Moins Sporting;Moins 1,5;122619306;3,85;0;0 %;1;0 %;0;0 %;0 %;1;4 038;4 038;21;0;0;1;1;0
16844;;;;;30248108;;84,93;3 589;100 %;20 607;100 %;17;100 %;0 %;4 131;;;;;;20 590;15 806;4 784
16844;Football;Liga Portugal;Sporting-Rio Ave;Plus/Moins;Plus 2.5;122619192;1,3;3 530;98 %;20 380;99 %;15;88 %;0 %;4 055;-2 789;-3 066;-2;3 068;3 962;20 365;15 708;4 657
16844;Football;Liga Portugal;Sporting-Rio Ave;Plus/Moins;Moins 2.5;122619191;2,45;59;2 %;227;1 %;2;12 %;3 %;76;1 286;1 286;12;3;5;225;98;127
16879;;;;;30248212;;87,36;1 478;100 %;11 228;100 %;0;0 %;0 %;1 362;;;;;;11 228;8 767;2 461
16879;Football;Liga Portugal;Sporting-Rio Ave;Plus/Moins;Plus 1.5;122619656;1,09;1 475;100 %;11 216;100 %;0;0 %;0 %;1 356;-354;-423;0;423;818;11 216;8 757;2 459
16879;Football;Liga Portugal;Sporting-Rio Ave;Plus/Moins;Moins 1.5;122619657;4,4;3;0 %;12;0 %;0;0 %;0 %;6;797;797;0;0;0;12;10;2
17231;;;;;30248149;;83,44;1 460;100 %;3 444;100 %;651;100 %;45 %;743;;;;;;2 793;1 956;837
17231;Football;Liga Portugal;Sporting-Rio Ave;1/N/2 H_MT;1;122619397;2,3;1 392;95 %;3 159;92 %;641;98 %;46 %;639;-1 106;-1 230;-913;1 247;1 787;2 518;1 758;760
17231;Football;Liga Portugal;Sporting-Rio Ave;1/N/2 H_MT;N;122619398;2,5;53;4 %;252;7 %;0;0 %;0 %;94;703;681;651;44;26;252;178;74
17231;Football;Liga Portugal;Sporting-Rio Ave;1/N/2 H_MT;2;122619396;2,75;15;1 %;33;1 %;10;2 %;67 %;10;705;705;624;18;28;23;20;3
17324;;;;;30285458;;13,09;2 378;100 %;7 029;100 %;411;100 %;17 %;788;;;;;;6 618;2 580;4 038
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Luis Javier Suarez;122802991;1,31;1 630;69 %;5 583;79 %;0;0 %;0 %;571;341;224;411;192;89;5 583;2 254;3 329
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Fotis Ioannidis;122802994;1,44;119;5 %;371;5 %;0;0 %;0 %;55;454;454;411;0;0;371;114;257
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Maximiliano Araujo;122802996;1,8;143;6 %;411;6 %;0;0 %;0 %;73;454;454;411;0;0;411;101;310
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Alisson de Almeida Santos;122802988;1,9;15;1 %;53;1 %;0;0 %;0 %;5;454;454;411;0;0;53;1;52
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Giorgi Kochorashvili;122802986;1,95;0;0 %;2;0 %;0;0 %;0 %;2;454;454;411;0;0;2;2;0
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Hidemasa Morita;122802983;2;6;0 %;13;0 %;3;1 %;50 %;3;443;430;405;16;6;10;0;10
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Ricardo Mangas;122802980;2,4;1;0 %;3;0 %;0;0 %;0 %;1;454;454;411;0;0;3;3;0
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Joao Pedro Aranuth Barrocas Simoes;122802999;2,4;0;0 %;1;0 %;0;0 %;0 %;1;454;454;411;0;0;1;0;1
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Morten Hjulmand;122802979;2,55;318;13 %;352;5 %;308;75 %;97 %;21;-332;-332;-375;478;786;44;31;13
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Georgios Vagiannidis;122802987;2,8;50;2 %;51;1 %;50;12 %;100 %;2;312;312;269;93;143;1;0;1
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Matheus Reis;122802992;3,05;0;0 %;0;0 %;0;0 %;0 %;0;454;454;411;0;0;0;0;0
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Goncalo Inacio;122802998;3,3;2;0 %;2;0 %;2;0 %;100 %;1;447;447;404;5;7;0;0;0
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Clayton;122802990;4,35;50;2 %;111;2 %;25;6 %;50 %;28;349;349;306;80;105;86;61;25
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Ole Pohlmann;122802984;4,55;0;0 %;0;0 %;0;0 %;0 %;0;454;454;411;0;0;0;0;0
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Andre Luiz;122802982;5;42;2 %;71;1 %;23;6 %;55 %;22;345;345;302;86;109;48;8;40
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Quaresma;122802985;4,35;0;0 %;0;0 %;0;0 %;0 %;0;454;454;411;0;0;0;0;0
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Dario Spikic;122802989;5,3;0;0 %;0;0 %;0;0 %;0 %;0;454;454;411;0;0;0;0;0
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Marc Gual;122803000;5,6;0;0 %;0;0 %;0;0 %;0 %;0;454;454;411;0;0;0;0;0
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Brandon Aguilera Zamora;122802993;7,25;0;0 %;0;0 %;0;0 %;0 %;0;454;454;411;0;0;0;0;0
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Georgios Liavas;122802997;7,5;0;0 %;0;0 %;0;0 %;0 %;0;454;454;411;0;0;0;0;0
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Julien Lomboto;122802978;8,25;0;0 %;1;0 %;0;0 %;0 %;1;454;454;411;0;0;1;1;0
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Nikolaos Athanasiou;122802981;8,5;0;0 %;2;0 %;0;0 %;0 %;1;454;454;411;0;0;2;2;0
17324;Football;Liga Portugal;Sporting-Rio Ave;Joueur décisif;Nelson Abbey;122802995;8,75;0;0 %;2;0 %;0;0 %;0 %;1;454;454;411;0;0;2;2;0
136;;;;;30132640;;88,49;1 256;100 %;7 675;100 %;45;100 %;4 %;2 589;;;;;;7 630;3 990;3 640
136;Football;Championship;Leicester-Derby;1/N/2;1;121958411;1,98;968;77 %;6 565;86 %;16;36 %;2 %;2 225;482;248;13;250;32;6 549;3 823;2 726
136;Football;Championship;Leicester-Derby;1/N/2;N;121958412;3,2;262;21 %;929;12 %;29;64 %;11 %;256;159;-794;-46;1 024;101;900;108;792
136;Football;Championship;Leicester-Derby;1/N/2;2;121958413;3,2;26;2 %;181;2 %;0;0 %;0 %;108;678;624;45;54;0;181;59;122
129;;;;;29908916;;93,41;45 509;100 %;335 558;100 %;3 571;100 %;8 %;75 388;;;;;;331 987;237 049;94 938
129;Football;Serie A;AS Rome-Genoa;1/N/2;1;120662430;1,62;42 364;93 %;330 061;98 %;1 155;32 %;3 %;74 364;-86 696;-169 958;1 728;172 767;101 707;328 906;235 116;93 790
129;Football;Serie A;AS Rome-Genoa;1/N/2;N;120662431;3,6;2 927;6 %;4 877;1 %;2 290;64 %;78 %;795;20 266;19 040;-4 631;9 671;10 895;2 587;1 601;986
129;Football;Serie A;AS Rome-Genoa;1/N/2;2;120662429;5,7;217;0 %;620;0 %;126;4 %;58 %;229;30 610;30 472;2 862;754;743;494;332;162
1072;;;;;30257591;;45,77;3 973;100 %;32 226;100 %;270;100 %;7 %;4 024;;;;;;31 956;18 061;13 895
1072;Football;Serie A;AS Rome-Genoa;Double chance;1/N;122677182;1,13;3 810;96 %;30 472;95 %;270;100 %;7 %;3 505;-652;-1 165;-32;1 177;2 446;30 202;16 860;13 342
1072;Football;Serie A;AS Rome-Genoa;Double chance;N/2;122677181;2;5;0 %;40;0 %;0;0 %;0 %;23;2 121;2 121;270;0;0;40;35;5
1072;Football;Serie A;AS Rome-Genoa;Double chance;1/2;122677183;1,25;159;4 %;1 714;5 %;0;0 %;0 %;496;2 108;2 106;270;3;3;1 714;1 166;548
446;;;;;29104400;;88,54;5 960;100 %;47 744;100 %;348;100 %;6 %;11 197;;;;;;47 396;28 315;19 081
446;Football;D1 Ar.Saoudite;Al Taawon-Al Najma;1/N/2;1;116307713;1,38;5 912;99 %;47 595;100 %;334;96 %;6 %;11 110;-1 022;-8 989;-114;9 012;1 605;47 261;28 258;19 003
446;Football;D1 Ar.Saoudite;Al Taawon-Al Najma;1/N/2;N;116307714;4,25;20;0 %;79;0 %;7;2 %;35 %;52;5 367;5 361;320;38;40;72;39;33
446;Football;D1 Ar.Saoudite;Al Taawon-Al Najma;1/N/2;2;116307712;5,9;28;0 %;70;0 %;7;2 %;25 %;35;5 366;5 338;311;58;37;63;18;45
411;;;;;28772637;;92,24;42 565;100 %;267 005;100 %;1 053;100 %;2 %;52 543;;;;;;265 952;170 367;95 585
411;Football;CAN;Comores-Mali;1/N/2;1;114497363;6,7;755;2 %;2 373;1 %;318;30 %;42 %;915;11 197;9 981;-2 202;7 151;6 303;2 055;1 390;665
411;Football;CAN;Comores-Mali;1/N/2;N;114497364;4;580;1 %;1 731;1 %;270;26 %;47 %;712;16 262;15 896;-134;1 343;1 254;1 461;992;469
411;Football;CAN;Comores-Mali;1/N/2;2;114497365;1,46;41 230;97 %;262 901;98 %;465;44 %;1 %;50 916;-2 592;-33 789;365;34 630;4 814;262 436;167 985;94 451
3386;;;;;30257131;;89,72;1 616;100 %;2 872;100 %;1 400;100 %;87 %;496;;;;;;1 472;1 174;298
3386;Football;CAN;Comores-Mali;Plus/Moins Mali;Plus 1,5;122675493;1,7;914;57 %;2 147;75 %;700;50 %;77 %;474;196;155;196;545;1 204;1 447;1 150;297
3386;Football;CAN;Comores-Mali;Plus/Moins Mali;Moins 1,5;122675494;1,9;702;43 %;725;25 %;700;50 %;100 %;22;132;132;84;616;1 316;25;24;1
18308;;;;;30257110;;45,73;4 185;100 %;36 285;100 %;4;100 %;0 %;3 865;;;;;;36 281;23 182;13 099
18308;Football;CAN;Comores-Mali;Double chance;1/N;122675388;2,25;24;1 %;198;1 %;0;0 %;0 %;90;1 278;1 278;4;0;0;198;166;32
18308;Football;CAN;Comores-Mali;Double chance;N/2;122675387;1,1;3 974;95 %;33 732;93 %;4;100 %;0 %;3 248;-48;-1 030;0;1 038;172;33 728;21 318;12 410
18308;Football;CAN;Comores-Mali;Double chance;1/2;122675386;1,2;187;4 %;2 355;6 %;0;0 %;0 %;527;1 270;1 256;4;14;0;2 355;1 698;657
472;;;;;28767667;;87,4;3 118;100 %;15 955;100 %;846;100 %;27 %;4 958;;;;;;15 109;9 634;5 475
472;Football;D1 Australie;Melbourne Vic-Wellington;1/N/2;1;114478641;1,52;1 991;64 %;13 652;86 %;69;8 %;3 %;4 191;726;-949;741;2 069;573;13 583;8 855;4 728
472;Football;D1 Australie;Melbourne Vic-Wellington;1/N/2;N;114478643;3,9;332;11 %;1 030;6 %;111;13 %;33 %;504;1 632;926;413;1 193;605;919;473;446
472;Football;D1 Australie;Melbourne Vic-Wellington;1/N/2;2;114478642;4,35;795;26 %;1 273;8 %;666;79 %;84 %;263;-911;-1 319;-2 051;2 974;3 236;607;306;301
326;;;;;30257228;;85,98;9 706;100 %;28 653;100 %;264;100 %;3 %;2 814;;;;;;28 389;9 467;18 922
326;Football;CAN;Zambie-Maroc;1/N/2 H;1;122675933;4,1;7;0 %;46;0 %;0;0 %;0 %;31;15 118;15 111;264;27;21;46;28;18
326;Football;CAN;Zambie-Maroc;1/N/2 H;N;122675935;3,4;50;1 %;181;1 %;2;1 %;4 %;92;14 995;14 833;257;295;136;179;81;98
326;Football;CAN;Zambie-Maroc;1/N/2 H;2;122675934;1,6;9 648;99 %;28 426;99 %;262;99 %;3 %;2 691;-25 580;-26 649;-155;26 663;39 075;28 164;9 358;18 806
327;;;;;30257302;;85,66;1 327;100 %;8 445;100 %;168;100 %;13 %;1 256;;;;;;8 277;5 721;2 556
327;Football;CAN;Zambie-Maroc;1/N/2 MT;1;122676246;11,9;37;3 %;77;1 %;26;15 %;70 %;24;29;29;-96;347;374;51;44;7
327;Football;CAN;Zambie-Maroc;1/N/2 MT;N;122676245;2,4;91;7 %;440;5 %;22;13 %;24 %;106;350;350;115;31;53;418;355;63
327;Football;CAN;Zambie-Maroc;1/N/2 MT;2;122676247;1,5;1 199;90 %;7 928;94 %;120;71 %;10 %;1 126;-62;-340;-12;389;256;7 808;5 322;2 486
410;;;;;28772636;;92,52;53 372;100 %;358 535;100 %;2 394;100 %;4 %;59 554;;;;;;356 141;229 967;126 174
410;Football;CAN;Zambie-Maroc;1/N/2;1;114497360;14,5;462;1 %;1 245;0 %;253;11 %;55 %;456;24 774;24 498;-869;6 474;6 466;992;603;389
410;Football;CAN;Zambie-Maroc;1/N/2;N;114497362;5,6;337;1 %;1 077;0 %;137;6 %;41 %;447;30 442;30 366;1 677;737;805;940;616;324
410;Football;CAN;Zambie-Maroc;1/N/2;2;114497361;1,2;52 573;99 %;356 213;99 %;2 004;84 %;4 %;58 651;-23 990;-44 190;5;44 643;42 682;354 209;228 748;125 461
10458;;;;;30257209;;45,81;2 203;100 %;14 152;100 %;0;0 %;0 %;1 127;;;;;;14 152;7 360;6 792
10458;Football;CAN;Zambie-Maroc;Double chance;1/N;122675806;3,3;19;1 %;84;1 %;0;0 %;0 %;28;1 328;1 328;0;0;0;84;80;4
10458;Football;CAN;Zambie-Maroc;Double chance;N/2;122675805;1,03;2 123;96 %;13 361;94 %;0;0 %;0 %;916;-338;-464;0;471;600;13 361;6 730;6 631
10458;Football;CAN;Zambie-Maroc;Double chance;1/2;122675804;1,1;61;3 %;707;5 %;0;0 %;0 %;183;1 315;1 315;0;6;12;707;550;157
423;;;;;28775500;;91,98;38 619;100 %;234 583;100 %;1 373;100 %;4 %;51 662;;;;;;233 210;161 142;72 068
423;Football;CAN;Zimbabwe-Afrique du Sud;1/N/2;1;114509112;4,85;345;1 %;1 203;1 %;130;9 %;38 %;569;36 584;36 160;736;1 020;735;1 073;656;417
423;Football;CAN;Zimbabwe-Afrique du Sud;1/N/2;N;114509113;3,5;771;2 %;2 658;1 %;279;20 %;36 %;1 050;36 062;35 483;397;1 480;1 202;2 379;1 570;809
423;Football;CAN;Zimbabwe-Afrique du Sud;1/N/2;2;114509111;1,68;37 503;97 %;230 722;98 %;964;70 %;3 %;50 043;-4 313;-64 195;-258;64 806;6 699;229 758;158 916;70 842
3378;;;;;30255782;;45,94;5 598;100 %;50 531;100 %;0;0 %;0 %;6 305;;;;;;50 531;33 993;16 538
3378;Football;CAN;Zimbabwe-Afrique du Sud;Double chance;1/N;122673752;1,92;15;0 %;161;0 %;0;0 %;0 %;74;5 590;5 586;0;5;0;161;109;52
3378;Football;CAN;Zimbabwe-Afrique du Sud;Double chance;N/2;122673753;1,16;5 295;95 %;46 616;92 %;0;0 %;0 %;5 287;-384;-4 167;0;4 308;975;46 616;30 731;15 885
3378;Football;CAN;Zimbabwe-Afrique du Sud;Double chance;1/2;122673754;1,26;288;5 %;3 754;7 %;0;0 %;0 %;944;5 459;5 388;0;71;0;3 754;3 153;601
412;;;;;28775499;;91,42;21 095;100 %;132 674;100 %;2 583;100 %;12 %;35 237;;;;;;130 091;100 885;29 206
412;Football;CAN;Angola-Egypte;1/N/2;1;114509108;2,85;1 132;5 %;5 511;4 %;259;10 %;23 %;1 766;11 906;10 286;1 861;2 490;1 166;5 252;3 558;1 694
412;Football;CAN;Angola-Egypte;1/N/2;N;114509110;2,85;1 530;7 %;6 412;5 %;269;10 %;18 %;2 784;11 316;9 843;1 826;2 798;1 664;6 143;4 193;1 950
412;Football;CAN;Angola-Egypte;1/N/2;2;114509109;2,55;18 433;87 %;120 751;91 %;2 055;80 %;11 %;30 687;-10 673;-40 702;-2 625;42 333;15 568;118 696;93 134;25 562
3361;;;;;30255658;;86,36;1 414;100 %;11 246;100 %;1;100 %;0 %;3 735;;;;;;11 245;8 441;2 804
3361;Football;CAN;Angola-Egypte;Les 2 équipes marquent;Oui;122673198;1,95;1 387;98 %;11 076;98 %;1;100 %;0 %;3 668;-292;-1 444;-1;1 445;312;11 075;8 290;2 785
3361;Football;CAN;Angola-Egypte;Les 2 équipes marquent;Non;122673197;1,55;27;2 %;170;2 %;0;0 %;0 %;67;476;475;1;1;0;170;151;19
3367;;;;;30255652;;45,98;4 708;100 %;42 891;100 %;20;100 %;0 %;7 698;;;;;;42 871;28 321;14 550
3367;Football;CAN;Angola-Egypte;Double chance;1/N;122673177;1,42;262;6 %;2 402;6 %;0;0 %;0 %;560;5 907;5 735;20;172;0;2 402;1 785;617
3367;Football;CAN;Angola-Egypte;Double chance;N/2;122673179;1,35;4 057;86 %;36 145;84 %;0;0 %;0 %;5 923;-154;-4 791;20;5 154;838;36 145;22 865;13 280
3367;Football;CAN;Angola-Egypte;Double chance;1/2;122673178;1,37;389;8 %;4 344;10 %;20;100 %;5 %;1 215;5 849;5 673;-7;183;27;4 324;3 671;653
